title,authors,average_rating,isbn,# num_pages,library_url
Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry,J.K. Rowling,4.4,043932162X,240,https://openlibrary.org/books/OL7511911M/Harry_Potter_Schoolbooks_Box_Set_From_the_Library_of_Hogwarts
J.K. Rowling's Harry Potter Novels: A Reader's Guide,Philip Nel,3.57,0826452329,96,https://openlibrary.org/books/OL22145282M/J.K._Rowling's_Harry_Potter_novels
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling,4.56,0747584664,768,https://openlibrary.org/books/OL27931894M/Harry_Potter_and_the_Half-Blood_Prince
The Santaroga Barrier,Frank Herbert,3.65,0765342510,256,https://openlibrary.org/books/OL8053827M/The_Santaroga_Barrier
The Dosadi Experiment (ConSentiency Universe  #2),Frank Herbert,3.81,0765342537,320,https://openlibrary.org/books/OL8053829M/The_Dosadi_Experiment
The Eyes of Heisenberg,Frank Herbert,3.43,0765342529,192,https://openlibrary.org/books/OL8053828M/The_Eyes_of_Heisenberg
King of the Vagabonds (The Baroque Cycle  Vol. 1  Book 2),Neal Stephenson,4.16,0060833173,400,https://openlibrary.org/books/OL24211805M/King_of_the_Vagabonds
The Birds (Methuen Drama),Sean O'Brien,2.67,0413772780,96,https://openlibrary.org/books/OL3754694M/The_birds
The Frogs,Aristophanes-B.B. Rogers,3.8,1420926713,88,https://openlibrary.org/books/OL8490212M/The_Frogs
Lysistrata,Aristophanes-Jeffrey Henderson,3.85,0198144962,320,https://openlibrary.org/books/OL21169792M/Lysistrata
"Myths of the Underworld Journey: Plato  Aristophanes  and the ""Orphic"" Gold Tablets",Radcliffe G. Edmonds III,3.75,0521834341,276,https://openlibrary.org/books/OL18467438M/Myths_of_the_underworld_journey_in_Plato_Aristophanes_and_the_'Orphic'_gold_tablets
Assembly of Women (Literary Classics),Aristophanes-Robert Mayhew,3.78,1573921335,124,https://openlibrary.org/books/OL1011871M/Assembly_of_women
Comoediae 1: Acharenses/Equites/Nubes/Vespae/Pax/Aves,Aristophanes-F.W. Hall-W.M. Geldart,5.0,0198145047,364,https://openlibrary.org/books/OL7396672M/Aristophanis_Comoediae_Volume_I
Aristophanes and His Theatre of the Absurd,Paul Anthony Cartledge,3.43,1853991147,127,https://openlibrary.org/books/OL20732346M/Aristophanes_and_his_theatre_of_the_absurd
Later Novels and Other Writings: The Lady in the Lake / The Little Sister / The Long Goodbye / Playback / Double Indemnity (screenplay) / Selected Essays and Letters,Raymond Chandler-Frank MacShane,4.47,1883011086,1076,https://openlibrary.org/books/OL18518975M/Later_novels_and_other_writings
Stories and Early Novels: Pulp Stories / The Big Sleep / Farewell  My Lovely / The High Window,Raymond Chandler-Frank MacShane,4.49,1883011078,1199,https://openlibrary.org/books/OL1117541M/Later_novels_and_other_writings
The Lady in the Lake  The Little Sister  The Long Goodbye  Playback (Everyman's Library),Raymond Chandler-Tom Hiney,4.45,0375415025,1016,https://openlibrary.org/books/OL3703565M/The_lady_in_the_lake
The High Window (Philip Marlowe  #3),Raymond Chandler,4.08,0394758269,265,https://openlibrary.org/books/OL1566842M/The_high_window
Farewell  My Lovely (Philip Marlowe  #2),Raymond Chandler,4.15,0394758277,292,https://openlibrary.org/books/OL1566843M/Farewell_my_lovely
The Simple Art of Murder,Raymond Chandler,4.16,0394757653,384,https://openlibrary.org/books/OL2408568M/The_simple_art_of_murder
The Big Sleep (Philip Marlowe  #1),Raymond Chandler,4.01,0394758285,231,https://openlibrary.org/books/OL1566844M/The_big_sleep
The Long Goodbye (Philip Marlowe  #6),Raymond Chandler,4.22,0394757688,379,https://openlibrary.org/books/OL1566840M/The_long_goodbye
An Evening of Long Goodbyes,Paul Murray,3.6,0812970403,448,https://openlibrary.org/books/OL8020927M/An_Evening_of_Long_Goodbyes
Ghost In the Shell 2: Innocence: After the Long Goodbye,Masaki Yamada-Yuji Oniki-Carl Gustav Horn,3.98,1421501562,196,https://openlibrary.org/books/OL17154499M/Ghost_in_the_shell_2
The Long Goodbye (Philip Marlowe  #6),Raymond Chandler,4.22,056352474X,2,https://openlibrary.org/books/OL7852506M/The_Long_Goodbye
Breaking the Spell: Religion as a Natural Phenomenon,Daniel C. Dennett,3.89,067003472X,448,https://openlibrary.org/books/OL3421576M/Breaking_the_spell
Darwin's Dangerous Idea: Evolution and the Meanings of Life,Daniel C. Dennett,4.04,068482471X,588,https://openlibrary.org/books/OL7721356M/Darwin's_Dangerous_Idea
Consciousness Explained,Daniel C. Dennett,3.88,0316180661,511,https://openlibrary.org/books/OL26910348M/Consciousness_explained
Freedom Evolves,Daniel C. Dennett,3.83,0142003840,368,https://openlibrary.org/books/OL7360314M/Freedom_Evolves
Kinds of Minds: Towards an Understanding of Consciousness,Daniel C. Dennett,3.82,0465073514,192,https://openlibrary.org/books/OL7593987M/Kinds_of_Minds
Leaps of Faith: Science  Miracles & the Search for Supernatural Consolation,Nicholas Humphrey-Daniel C. Dennett,3.76,0387987207,244,https://openlibrary.org/books/OL33862M/Leaps_of_faith
Elbow Room: The Varieties of Free Will Worth Wanting,Daniel C. Dennett,3.92,0262540428,200,https://openlibrary.org/books/OL2847561M/Elbow_room
The Mind’s I: Fantasies and Reflections on Self and Soul,Douglas R. Hofstadter-Daniel C. Dennett,4.14,0553345842,512,https://openlibrary.org/books/OL15302370M/The_mind's_I
The Illustrated A Brief History of Time,Stephen Hawking,4.16,0553103741,256,https://openlibrary.org/books/OL24767384M/The_illustrated_A_brief_history_of_time
A Briefer History of Time,Stephen Hawking-Leonard Mlodinow-Gheorghe Stratan,4.21,0553804367,176,https://openlibrary.org/books/OL7850566M/A_Briefer_History_of_Time
The Universe in a Nutshell,Stephen Hawking,4.15,055380202X,216,https://openlibrary.org/books/OL23246085M/The_universe_in_a_nutshell
God Created the Integers: The Mathematical Breakthroughs That Changed History,Stephen Hawking,4.06,0762419229,1160,https://openlibrary.org/books/OL8033304M/God_Created_the_Integers
Stephen Hawking's Universe: The Cosmos Explained,David Filkin-Stephen Hawking,4.28,0465081983,304,https://openlibrary.org/books/OL686209M/Stephen_Hawking's_universe
The Future of Spacetime,Stephen Hawking-Kip S. Thorne-Igor Novikov-Timothy Ferris-Alan Lightman-Richard     Price,3.93,039332446X,224,https://openlibrary.org/books/OL7454004M/The_Future_of_Spacetime
Stephen Hawking's Universe,John Boslough,4.04,0380707632,160,https://openlibrary.org/books/OL18322710M/Stephen_Hawking's_universe
The Nature of Space and Time,Stephen Hawking-Roger Penrose,4.09,0691050848,152,https://openlibrary.org/books/OL7757291M/The_Nature_of_Space_and_Time
The Physics of Star Trek,Lawrence M. Krauss-Stephen Hawking,3.83,0060977108,188,https://openlibrary.org/books/OL15343426M/The_physics_of_Star_trek
The World Treasury of Physics  Astronomy & Mathematics from Albert Einstein to Stephen W. Hawking & from Annie Dillard to John Updike,Timothy Ferris,4.12,0316281336,859,https://openlibrary.org/books/OL18820290M/The_World_treasury_of_physics_astronomy_and_mathematics
The Art of Nonfiction: A Guide for Writers and Readers,Ayn Rand-Robert Mayhew-Peter   Schwartz,3.96,0452282314,192,https://openlibrary.org/books/OL7590919M/The_Art_of_Nonfiction
The Journals of Ayn Rand,Ayn Rand-Leonard Peikoff-David Harriman,3.95,0452278872,752,https://openlibrary.org/books/OL7590775M/The_Journals_of_Ayn_Rand
The Fountainhead,Ayn Rand-Leonard Peikoff,3.86,0451191153,704,https://openlibrary.org/books/OL20701851M/The_fountainhead
The 36-Hour Day: A Family Guide to Caring for Persons with Alzheimer Disease  Related Dementing Illnesses  and Memory Loss in Later Life,Nancy L. Mace-Peter V. Rabins,4.24,0446618764,624,https://openlibrary.org/books/OL7537932M/The_36-Hour_Day
The 3-Hour Diet: On the Go,Jorge Cruise,3.08,0060793198,192,https://openlibrary.org/books/OL7281876M/The_3-Hour_Diet_On_the_Go_(Collins_Gem)
The Last Hours of Ancient Sunlight: The Fate of the World and What We Can Do Before It's Too Late,Thom Hartmann-Joseph Chilton Pearce-Neale Donald Walsch,4.22,1400051576,400,https://openlibrary.org/books/OL3677239M/The_last_hours_of_ancient_sunlight
The Hours,Michael Cunningham,3.93,1841150355,230,no response found
Specimen Days,Michael Cunningham,3.58,0312425023,336,https://openlibrary.org/books/OL18401341M/Specimen_days
A Home at the End of the World,Michael Cunningham,3.9,0312424086,342,https://openlibrary.org/books/OL9825248M/A_Home_at_the_End_of_the_World
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.92,0316172324,277,https://openlibrary.org/books/OL23273215M/Blink
Blink,Ted Dekker,4.17,0849945119,400,https://openlibrary.org/books/OL8262922M/Blink
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.92,073945529X,296,https://openlibrary.org/books/OL7916810M/Blink_The_Power_of_Thinking_Without_Thinking
Blink-182: Tales from Beneath Your Mom,Mark Hoppus-Anne Hoppus-Alex Gaskarth,4.4,0743422074,112,https://openlibrary.org/books/OL3579683M/Blink-182
The Complete Novels,Jane Austen-Hugh  Thomson,4.55,0517147688,1103,https://openlibrary.org/books/OL7678895M/Jane_Austen
The Jane Austen Book Club,Karen Joy Fowler,3.08,0452286530,288,https://openlibrary.org/books/OL26395003M/Jane_Austen_book_club
Jane Austen: The Complete Novels,Jane Austen,4.55,0517118297,1103,https://openlibrary.org/books/OL7677265M/Jane_Austen
Jane Austen's Letters,Jane Austen-Deirdre Le Faye,4.15,0192832972,672,https://openlibrary.org/books/OL999408M/Jane_Austen's_letters
Persuasion,Jane Austen-James Kinsley-Maurgaux Motin-Deidre Shauna Lynch,4.13,0192802631,249,https://openlibrary.org/books/OL22593782M/PERSUASION_ED._BY_JAMES_KINSLEY.
Tea with Jane Austen,Kim Wilson-Tom Carpenter,3.78,097212179X,128,https://openlibrary.org/books/OL3294542M/Tea_with_Jane_Austen
The Old Man and the Sea,Ernest Hemingway,3.76,0684830493,132,https://openlibrary.org/books/OL974459M/The_old_man_and_the_sea
The Old Man and the Sea,Ernest Hemingway-Donald Sutherland,3.76,0743564367,3,https://openlibrary.org/books/OL7953208M/The_Old_Man_and_the_Sea
Cliffs Notes on Hemingway's The Old Man and the Sea,Jeanne Sallade Criswell-Gary Carey,2.83,0764586602,80,https://openlibrary.org/books/OL6799450M/CliffsNotes_Hemingway's_The_old_man_and_the_sea
The Old Man and the Sea,Ernest Hemingway,3.76,0684718057,127,no response found
The Old Man and the Sea,Ernest Hemingway,3.76,0684163268,127,no response found
Madame Bovary,Gustave Flaubert-Malcolm Bowie-Margaret Mauldon-Tomás de C.  Duran-Mark Overstall-Victor Villarraza,3.66,0192840398,329,https://openlibrary.org/books/OL27910462M/Madame_Bovary
Flaubert's Parrot,Julian Barnes,3.66,0679731369,190,https://openlibrary.org/books/OL1888718M/Flaubert's_parrot
Flaubert in Egypt: A Sensibility on Tour,Gustave Flaubert-Francis Steegmuller-Eugène Delacroix,3.63,0140435824,230,https://openlibrary.org/books/OL550921M/Flaubert_in_Egypt
A Sentimental Education,Gustave Flaubert-Douglas Parmée,3.83,0192836226,464,https://openlibrary.org/books/OL7384186M/A_Sentimental_Education
Madame Bovary,Gustave Flaubert-Mildred Marmur-Robin Morgan,3.66,0451528204,448,https://openlibrary.org/books/OL7577314M/Madame_Bovary
Three Tales,Gustave Flaubert-Roger Whitehouse-Geoffrey Wall,3.71,0140448004,110,https://openlibrary.org/books/OL22613935M/THREE_TALES_TRANS._BY_ROGER_WHITEHOUSE.
Sentimental Education,Gustave Flaubert-Robert Baldick-Geoffrey Wall,3.83,0140447970,460,https://openlibrary.org/books/OL3382959M/Sentimental_education
The Family Idiot 5: Gustave Flaubert 1821-1857,Jean-Paul Sartre-Carol Cosman,3.8,0226735192,632,https://openlibrary.org/books/OL22592088M/The_family_idiot
Middlesex,Jeffrey Eugenides,3.99,0312422156,529,https://openlibrary.org/books/OL18261476M/Middlesex
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,4.28,0743270754,916,https://openlibrary.org/books/OL7948322M/Team_of_Rivals
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,4.28,1419364621,42,no response found
John Adams,David McCullough,4.06,0743223136,751,https://openlibrary.org/books/OL17729084M/John_Adams
The John Adams Reader: Eseential Writings on an American Composer,Thomas May-John   Adams,3.5,1574671324,455,https://openlibrary.org/books/OL8742161M/The_John_Adams_Reader
The Letters of John and Abigail Adams,Abigail Adams-Frank Shuffelton,4.17,0142437115,512,https://openlibrary.org/books/OL3686994M/The_letters_of_John_and_Abigail_Adams
The Portable John Adams,John  Adams-John Patrick Diggins,4.11,0142437786,533,https://openlibrary.org/books/OL3692674M/The_portable_John_Adams
Sex For Dummies,Ruth Westheimer,3.62,076455302X,432,https://openlibrary.org/books/OL6799859M/Sex_for_dummies
Baby Signing For Dummies,Jennifer Watson,3.63,0471773867,257,https://openlibrary.org/books/OL17971395M/Baby_signing_for_dummies
The Feeling Good Handbook,David D. Burns,4.0,0452281326,729,https://openlibrary.org/books/OL24206959M/The_feeling_good_handbook
On Death and Dying,Elisabeth Kübler-Ross,4.16,0684842238,288,https://openlibrary.org/books/OL776440M/On_death_and_dying
Questions and Answers on Death and Dying: A Companion Volume to On Death and Dying,Elisabeth Kübler-Ross,4.08,0684839377,192,https://openlibrary.org/books/OL7721715M/Questions_and_Answers_on_Death_and_Dying
The Last Dance: Encountering Death and Dying,Lynne Ann DeSpelder-Albert Lee Strickland,3.77,0072920963,664,https://openlibrary.org/books/OL18838248M/The_last_dance
Mahatma Gandhi and His Myths: Civil Disobedience  Nonviolence  and Satyagraha in the Real World (Plus Why It's Gandhi  Not Ghandi),Mark Shepard,3.64,0938497197,46,https://openlibrary.org/books/OL8416921M/Mahatma_Gandhi_and_His_Myths
The Seven Habits of Highly Effective People,Stephen R. Covey,4.09,0671708635,368,https://openlibrary.org/books/OL15982652M/The_seven_habits_of_highly_effective_people
The 7 Habits of Highly Effective People Personal Workbook,Stephen R. Covey,4.22,0743250974,192,https://openlibrary.org/books/OL3326005M/The_7_habits_of_highly_effective_people_personal_workbook
Daily Reflections For Highly Effective People: Living the 7 Habits of Highly Successful People Every Day,Stephen R. Covey,3.9,0671887173,384,https://openlibrary.org/books/OL1078609M/Daily_reflections_for_highly_effective_people
Way of the Peaceful Warrior: A Book That Changes Lives,Dan Millman,4.14,1932073205,240,https://openlibrary.org/books/OL8806645M/Way_of_the_Peaceful_Warrior
Secret of the Peaceful Warrior,Dan Millman-Robert D. San Souci-T. Taylor Bruce,4.18,0915811235,32,https://openlibrary.org/books/OL1889481M/Secret_of_the_peaceful_warrior
It's Not about the Bike: My Journey Back to Life,Lance Armstrong-Sally Jenkins,3.72,0425179613,294,https://openlibrary.org/books/OL3580545M/It's_not_about_the_bike
23 Days in July: Inside the Tour de France and Lance Armstrong's Record-Breaking Victory,John Wilcockson-Graham   Watson,3.67,0306814552,344,https://openlibrary.org/books/OL9455638M/23_Days_in_July
Truman,David McCullough,4.11,0671869205,1120,https://openlibrary.org/books/OL14418487M/Truman
The Complete Stories of Truman Capote,Truman Capote-Reynolds Price,4.2,140009691X,320,https://openlibrary.org/books/OL23273016M/The_complete_stories_of_Truman_Capote
Breakfast at Tiffany's: A Short Novel and Three Stories,Truman Capote,3.89,067960085X,162,https://openlibrary.org/books/OL1432121M/Breakfast_at_Tiffany's
Murder at The Washington Tribune (Capital Crimes  #21),Margaret Truman,3.58,0345478207,384,https://openlibrary.org/books/OL18336707M/Murder_at_the_Washington_Tribune
Murder at Ford's Theatre (Capital Crimes  #19),Margaret Truman,3.72,0449007383,376,https://openlibrary.org/books/OL7563221M/Murder_at_Ford's_Theatre
Other Voices  Other Rooms,Truman Capote,3.81,0679745645,232,https://openlibrary.org/books/OL1398712M/Other_voices_other_rooms
In Cold Blood,Truman Capote-Scott Brick,4.07,073933364X,15,https://openlibrary.org/books/OL7914913M/In_Cold_Blood
Emergence: The Connected Lives of Ants  Brains  Cities  and Software,Steven Johnson,3.96,0684868768,288,https://openlibrary.org/books/OL7722820M/Emergence
Emergence: Labeled Autistic,Temple Grandin-Margaret M. Scariano,4.07,0446671827,200,https://openlibrary.org/books/OL24872061M/Emergence
Emergence,David R. Palmer,4.16,0553245015,291,https://openlibrary.org/books/OL7821904M/Emergence
The Emergence of Life on Earth: A Historical and Scientific Overview,Iris Fry,4.06,0813527406,344,https://openlibrary.org/books/OL36849M/The_emergence_of_life_on_Earth
The Ghost Stories of Edith Wharton,Edith Wharton-Laszlo Kubinyi,3.89,0684842572,303,https://openlibrary.org/books/OL7721794M/The_Ghost_Stories_of_Edith_Wharton
Novels: The House of Mirth / The Reef / The Custom of the Country / The Age of Innocence,Edith Wharton-R.W.B. Lewis,4.3,0940450313,1328,https://openlibrary.org/books/OL2538849M/Novels
Collected Stories  1911-1937,Edith Wharton-Maureen Howard,4.28,1883011949,848,https://openlibrary.org/books/OL6792480M/Collected_stories_1911-1937
Novellas and Other Writings: Madame de Treymes / Ethan Frome / Summer / Old New York / The Mother’s Recompense / A Backward Glance,Edith Wharton-Cynthia Griffin Wolff,4.2,0940450534,1137,https://openlibrary.org/books/OL27941745M/Novellas_and_Other_Writings_(Backward_Glance_Ethan_Frome_Madame_de_Treymes_Mother's_Recompense_Old_N
The House of Mirth,Edith Wharton,3.95,0486420493,272,https://openlibrary.org/books/OL3953335M/The_house_of_mirth
Below the Root (Green Sky  #1),Zilpha Keatley Snyder-Alton Raible,4.09,0689304579,231,https://openlibrary.org/books/OL5056686M/Below_the_root.
The Witches of Worm,Zilpha Keatley Snyder,3.68,0440802504,183,https://openlibrary.org/books/OL7522847M/Witches_of_Worm
The Deeper Meaning of Liff,Douglas Adams-John Lloyd,3.93,0307236013,192,https://openlibrary.org/books/OL3434480M/The_deeper_meaning_of_liff
Dirk Gently's Holistic Detective Agency (Dirk Gently #1),Douglas Adams,3.98,1597770078,6,https://openlibrary.org/books/OL8895216M/Dirk_Gently
The Letters of J.R.R. Tolkien,J.R.R. Tolkien-Humphrey Carpenter-Christopher Tolkien,4.14,0618056998,502,https://openlibrary.org/books/OL6784634M/The_letters_of_J.R.R._Tolkien
The History of the Lord of the Rings (The History of Middle-earth #6-9),J.R.R. Tolkien-Christopher Tolkien,4.38,0618083553,1680,https://openlibrary.org/books/OL7603610M/The_History_of_the_Lord_of_the_Rings
The Languages of Tolkien's Middle-Earth,Ruth S. Noel-J.R.R. Tolkien,3.97,0395291305,207,https://openlibrary.org/books/OL17727814M/The_languages_of_Tolkien's_Middle-earth
The Lord of the Rings- 3 volumes set (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.49,0618574999,1438,https://openlibrary.org/books/OL27039287M/The_Lord_of_the_Rings-_3_volumes_set
Farmer Giles of Ham,J.R.R. Tolkien-Christina Scull-Wayne G. Hammond,3.84,0618009361,127,https://openlibrary.org/books/OL40472M/Farmer_Giles_of_Ham
Matthew Flinders' Cat,Bryce Courtenay,3.8,0670910619,611,https://openlibrary.org/books/OL3345609M/Matthew_Flinders'_cat
Whitethorn,Bryce Courtenay,4.07,067002922X,683,https://openlibrary.org/books/OL7641129M/Whitethorn
Solomon's Song (The Potato Factory  #3),Bryce Courtenay,4.01,0140271570,671,https://openlibrary.org/books/OL26177174M/Solomons_Song_Bk_3
Cold Counsel: Women in Old Norse Literature and Myth,Sarah M.  Anderson-Karen Swenson,3.61,0815319665,320,https://openlibrary.org/books/OL6782732M/Cold_counsel
Brave Companions: Portraits in History,David McCullough,3.98,0671792768,240,https://openlibrary.org/books/OL21745916M/Brave_companions
Mornings on Horseback: The Story of an Extraordinary Family  a Vanished Way of Life  and the Unique Child Who Became Theodore Roosevelt,David McCullough,4.12,0671447548,445,https://openlibrary.org/books/OL24765122M/Mornings_on_horseback
John Adams,David McCullough,4.06,0684813637,752,https://openlibrary.org/books/OL24753052M/John_Adams
The Johnstown Flood,David McCullough,4.1,0844662925,302,https://openlibrary.org/books/OL26840253M/Johnstown_Flood
The Path Between the Seas: The Creation of the Panama Canal  1870-1914,David McCullough,4.19,0743262131,697,https://openlibrary.org/books/OL7947981M/The_Path_Between_the_Seas
The Bone Collector (Lincoln Rhyme  #1),Jeffery Deaver,4.19,0451188454,528,https://openlibrary.org/books/OL7573817M/The_Bone_Collector_(A_Lincoln_Rhyme_Novel)
The Bone Collector (Lincoln Rhyme  #1),Jeffery Deaver,4.19,0340682116,467,no response found
El Coleccionista De Huesos (Lincoln Rhyme  #1),Jeffery Deaver,4.19,8466305130,640,https://openlibrary.org/books/OL9133956M/El_coleccionista_de_huesos_(The_Bone_Collector)
Moby Dick,Herman Melville-William Hootkins,3.49,9626343583,25,https://openlibrary.org/books/OL9161038M/Moby_Dick
Moby-Dick,Jan Needle-Patrick Benson-Herman Melville,3.72,0763630187,192,https://openlibrary.org/books/OL16245825M/Moby-Dick_or_the_whale
Moby Dick,Herman Melville-William Hootkins,3.49,0143058096,6,https://openlibrary.org/books/OL7361877M/Moby-Dick_(Penguin_Classics)
Moby-Dick,Herman Melville-Carl F. Hovde,3.49,1593080182,707,https://openlibrary.org/books/OL8870133M/Moby-Dick_(Barnes_Noble_Classics_Series)_(Barnes_Noble_Classics)
Herman Melville's Moby-Dick: A Routledge Study Guide and Sourcebook,Michael J. Davey-Duncan Wu,3.61,0415247713,208,https://openlibrary.org/books/OL3672110M/A_Routledge_literary_sourcebook_on_Herman_Melville's_Moby-Dick
Moby Dick: or The White Whale (Oxford Illustrated Classics),Geraldine McCaughrean-Victor G. Ambrus-Herman Melville,3.85,0192781537,104,https://openlibrary.org/books/OL25761739M/Moby_Dick_or_The_white_whale
My Moby Dick,William Humphrey,4.15,0701124229,96,no response found
Melville's Moby Dick: An American Nekyia (Studies in Jungian Psychology by Jungian Analysts),Edward F. Edinger,3.84,0919123708,156,https://openlibrary.org/books/OL626191M/Melville's_Moby-Dick
Moby Dick: Or  the White Whale (Oxford Illustrated Classics Series),Geraldine McCaughrean-Victor G. Ambrus-Herman Melville,3.85,019274156X,102,https://openlibrary.org/books/OL665436M/Moby_Dick_or_The_white_whale
Moby Dick,Herman Melville,3.49,0671463713,248,https://openlibrary.org/books/OL11072105M/Moby_Dick_(abridged)
Melville and the politics of identity: From *King Lear* to *Moby-Dick*,Julian Markels,3.33,0252063023,164,https://openlibrary.org/books/OL1718704M/Melville_and_the_politics_of_identity
"Unpainted to the Last: ""Moby Dick"" and Twentieth-century American Art",Elizabeth A. Schultz,4.28,0700607420,400,no response found
In the Heart of the Sea: The Epic True Story That Inspired Moby-Dick,Nathaniel Philbrick,4.16,0006531202,302,https://openlibrary.org/books/OL7259690M/In_the_Heart_of_the_Sea
Double Tap (Paul Madriani  #8),Steve Martini,3.91,0515139734,401,https://openlibrary.org/books/OL22716725M/Double_tap
The List,Steve Martini,3.96,0515121495,451,https://openlibrary.org/books/OL18333799M/The_list.
Witches Abroad (Discworld  #12; Witches #3),Terry Pratchett,4.23,0061020613,374,https://openlibrary.org/books/OL7286696M/Witches_Abroad
The Innocents Abroad,Mark Twain,3.86,0812967054,560,https://openlibrary.org/books/OL3563670M/The_innocents_abroad_or_The_new_pilgrims'_progress
Teaching English Abroad,Susan  Griffith,3.59,1854583522,576,https://openlibrary.org/books/OL8990137M/Teaching_English_Abroad
Theocritus: Select Poems: Select Poems,Theocritus-Kenneth James Dover,3.0,0862921473,395,https://openlibrary.org/books/OL16662823M/Select_poems
The Shield. Catalogue of Women. Other Fragments. (Hesiod II),Hesiod-Glenn W. Most,4.03,0674996232,434,https://openlibrary.org/books/OL17550594M/Hesiod
Death and the King's Horseman,Wole Soyinka-Simon Gikandi,3.76,0393977617,254,https://openlibrary.org/books/OL3561305M/Death_and_the_king's_horseman
Learning to Love: Exploring Solitude and Freedom,Thomas Merton-Christine M. Bochen,4.5,0060654856,382,https://openlibrary.org/books/OL673733M/Learning_to_love
The Time Machine,H.G. Wells-Greg Bear-Carlo Pagetti,3.88,0451528557,118,https://openlibrary.org/books/OL24328642M/The_Time_Machine
The Time Machine,H.G. Wells-Patrick Parrinder-Steven McLean-Marina Warner,3.88,0141439971,104,https://openlibrary.org/books/OL22620638M/TIME_MACHINE_ED._BY_PATRICK_PARRINDER.
The Time Machine,H.G. Wells-Cynthia Brantley Johnson-Benjamin Beard,3.88,0743487737,150,https://openlibrary.org/books/OL3328154M/The_time_machine
The Time Machine Did It,John Swartzwelder,3.84,0975579908,138,https://openlibrary.org/books/OL8585750M/The_Time_Machine_Did_It
The Ultimate Time Machine: A Remote Viewer's Perception of Time & Predictions for the New Millennium,Joseph McMoneagle,3.49,157174102X,275,https://openlibrary.org/books/OL8731936M/The_Ultimate_Time_Machine
The Time Machine,H.G. Wells-Melvin Burgess,3.88,0439436540,123,https://openlibrary.org/books/OL7512934M/Time_Machine_The_(sch_Cl)_(Scholastic_Classics)
The Complete Short Stories,H.G. Wells-John R. Hammond,4.14,1842124021,864,https://openlibrary.org/books/OL8924122M/Complete_Short_Stories_of_H._G._Wells
Selected Stories,H.G. Wells-Ursula K. Le Guin,3.98,0812970756,432,https://openlibrary.org/books/OL3694193M/Selected_stories_of_H.G._Wells
Tono-Bungay,H.G. Wells-Edward Mendelson-Patrick Parrinder,3.42,0141441119,414,https://openlibrary.org/books/OL22621533M/TONO-BUNGAY_ED._BY_PATRICK_PARRINDER.
The Name of the Rose (Everyman's Library (Cloth)),Umberto Eco,4.12,0307264890,560,https://openlibrary.org/books/OL17206668M/The_name_of_the_rose
In the Name of Jesus: Reflections on Christian Leadership,Henri J.M. Nouwen,4.35,0824512596,120,https://openlibrary.org/books/OL3704685M/In_the_name_of_Jesus
Blood Done Sign My Name: A True Story,Timothy B. Tyson,4.15,1400083117,368,https://openlibrary.org/books/OL8364293M/Blood_Done_Sign_My_Name
Blindness,José Saramago-Giovanni Pontiero,4.11,0156007754,326,https://openlibrary.org/books/OL26368537M/Blindness
The Gospel According to Jesus Christ,José Saramago-Giovanni Pontiero,4.28,0156001411,377,https://openlibrary.org/books/OL1094999M/The_Gospel_according_to_Jesus_Christ
All the Names,José Saramago-Margaret Jull Costa,3.89,0156010593,245,https://openlibrary.org/books/OL15505236M/All_the_names
The Tale of the Unknown Island,José Saramago-Peter Sís-Margaret Jull Costa,3.89,0156013037,64,no response found
Baltasar and Blimunda,José Saramago-Giovanni Pontiero,3.91,0156005204,346,https://openlibrary.org/books/OL18370866M/Baltasar_and_Blimunda
The Cave,José Saramago-Margaret Jull Costa,3.83,0156028794,307,https://openlibrary.org/books/OL22597233M/The_cave
The Stone Raft,José Saramago-Giovanni Pontiero,3.8,0156004011,292,https://openlibrary.org/books/OL22852725M/The_stone_raft
The Year of the Death of Ricardo Reis,José Saramago-Giovanni Pontiero,4.03,1860465021,384,https://openlibrary.org/books/OL8626156M/Year_of_the_Death_of_Ricardo_Reis
El hombre duplicado,José Saramago-Pilar del Río,3.88,8466312803,380,https://openlibrary.org/books/OL9134029M/El_Hombre_Duplicado_the_Double_(Punto_de_Lectura)
Ensayo sobre la lucidez,José Saramago-Pilar del Río,3.79,8466314741,461,https://openlibrary.org/books/OL9134046M/Ensayo_Sobre_la_Lucidez_Awakening
La caverna,José Saramago-Pilar del Río,3.83,846630679X,441,https://openlibrary.org/books/OL9133972M/La_caverna_A_caverna
The History of the Siege of Lisbon,José Saramago-Giovanni Pontiero,3.8,0156006243,314,https://openlibrary.org/books/OL22958650M/The_history_of_the_siege_of_Lisbon
Las intermitencias de la muerte,José Saramago-Pilar del Río,3.99,9587043642,274,https://openlibrary.org/books/OL9151033M/Las_intermitencias_de_la_muerte
The Treasured Writings of Kahlil Gibran,Kahlil Gibran,4.42,089009389X,902,https://openlibrary.org/books/OL20932596M/The_treasured_writings_of_Kahlil_Gibran.
